datetime,F0,F1,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y
2010-06-02 09:30:00,71.373,0.458,0.000,9.800,73.958,9.800,-1.840,7.010,10.910,25.440,32.180,12.834,7.133,-1.096,-0.675,-0.446,0.316,0.031,0.203,4.430,1.975,0.586,3.238,3.162,3.695,81.740,78.301,26.287,0.285,0.201,0.143,6.374,6.393,79.295,79.295,-0.012,0.993,1.040,1.078,1.098,1.052,-0.183,1.593,0.857,1.012,0.517,0.164,0.493,1.035,1.204,1.158,1.286,158.560,158.560,156.860,155.680,140.080,153.120,153.120,154.480,-0.501,0.694,-0.039,0.501,0.707,3.235,3.001,3.761,0.228,0.012,0.123,0
2010-06-02 10:00:00,71.900,0.462,-0.000,26.800,74.504,26.800,-2.460,11.440,8.910,26.160,34.780,12.942,6.927,-0.774,-0.667,0.201,1.081,0.441,0.085,4.462,2.000,0.476,3.251,3.160,3.698,86.931,84.470,47.243,0.277,0.204,0.142,6.359,6.386,73.647,73.647,-0.016,0.993,1.038,1.079,1.098,1.053,-0.217,1.510,0.858,0.994,0.509,0.129,0.489,0.976,1.162,1.132,1.286,158.560,158.560,156.670,155.720,140.080,153.120,153.120,154.550,0.247,1.540,0.480,0.312,0.494,2.397,2.347,4.033,0.300,0.321,-0.038,0
2010-06-02 10:30:00,72.116,0.463,-0.300,40.800,74.728,40.800,-2.370,13.270,9.910,25.410,33.980,13.067,6.762,-0.319,-0.629,0.219,1.893,0.613,0.145,4.493,2.026,0.474,3.267,3.160,3.696,89.344,87.338,56.985,0.266,0.209,0.142,6.344,6.378,69.680,69.680,-0.015,0.994,1.035,1.079,1.099,1.053,-0.234,1.455,0.858,0.978,0.504,0.104,0.440,0.987,1.159,1.130,1.283,158.560,158.560,156.570,156.570,140.080,153.120,153.120,155.050,0.251,1.461,0.624,0.413,0.395,3.034,2.689,4.091,0.598,0.396,0.149,0
2010-06-02 11:00:00,72.163,0.463,-0.000,54.200,74.781,54.200,-1.990,14.730,10.050,26.660,33.880,13.214,6.582,0.011,-0.474,0.310,0.857,0.754,0.157,4.524,2.051,0.463,3.284,3.161,3.693,89.754,87.825,60.842,0.259,0.213,0.143,6.328,6.370,65.356,65.356,-0.013,0.995,1.033,1.080,1.099,1.054,-0.212,1.428,0.857,0.966,0.497,0.094,0.427,0.976,1.146,1.131,1.282,158.560,158.330,156.570,156.570,140.080,153.120,153.120,155.560,0.343,1.028,0.725,0.417,0.389,4.011,3.328,3.988,0.132,-0.171,-0.104,0
2010-06-02 11:30:00,71.993,0.462,0.000,59.800,74.604,59.800,-0.920,14.910,9.880,26.590,34.200,13.375,6.426,0.113,-0.217,-0.078,0.056,0.769,0.153,4.555,2.077,0.450,3.242,3.165,3.691,87.766,85.036,67.588,0.271,0.211,0.144,6.303,6.357,61.982,61.982,-0.006,0.998,1.030,1.081,1.099,1.055,-0.204,1.463,0.846,0.956,0.491,0.070,0.381,0.920,1.130,1.131,1.280,158.560,157.090,156.570,156.330,140.860,153.120,154.480,155.860,-0.067,-0.100,0.703,0.412,0.336,3.610,3.630,3.762,0.163,-0.084,0.156,0
2010-06-02 12:00:00,71.931,0.462,-0.000,62.800,74.537,62.800,-1.070,14.400,10.760,25.900,33.810,13.531,6.309,0.008,-0.082,-0.174,-0.293,0.712,0.210,4.586,2.103,0.426,3.200,3.168,3.685,87.371,84.206,68.201,0.286,0.200,0.146,6.265,6.338,60.070,60.070,-0.007,0.999,1.028,1.082,1.099,1.056,-0.144,1.502,0.837,0.948,0.486,0.035,0.301,0.845,1.124,1.128,1.278,158.560,157.030,156.570,156.230,141.070,153.120,154.550,155.560,-0.192,-0.402,0.722,0.513,0.604,3.018,3.520,3.617,0.191,-0.065,0.200,0
2010-06-02 12:30:00,71.900,0.462,-0.100,64.600,74.508,64.600,-0.960,14.200,10.600,25.420,33.690,13.684,6.192,0.031,0.082,-0.236,-0.041,0.687,0.205,4.616,2.128,0.424,3.160,3.170,3.679,87.477,84.277,71.481,0.301,0.189,0.148,6.226,6.318,58.154,58.154,-0.006,1.001,1.026,1.083,1.100,1.057,-0.103,1.540,0.821,0.939,0.481,0.020,0.232,0.812,1.116,1.126,1.278,158.560,156.860,156.570,156.070,141.070,153.120,155.050,155.560,-0.217,-0.046,0.669,0.488,0.504,3.432,3.660,3.685,0.204,-0.061,0.310,0
2010-06-02 13:00:00,71.884,0.461,0.100,69.800,74.494,69.800,-1.190,14.330,10.730,25.520,34.760,13.834,6.078,0.090,0.153,-0.573,0.068,0.694,0.218,4.647,2.154,0.422,3.109,3.172,3.672,86.521,83.076,66.935,0.319,0.177,0.151,6.187,6.297,56.341,56.341,-0.008,1.002,1.024,1.084,1.100,1.058,-0.099,1.585,0.807,0.929,0.477,0.033,0.204,0.728,1.112,1.127,1.277,158.560,156.760,156.570,156.070,141.070,153.120,155.500,155.500,-0.455,0.116,0.700,0.510,0.364,3.296,3.741,3.834,0.245,-0.030,0.127,0
2010-06-02 13:30:00,71.884,0.461,0.400,74.200,74.494,74.200,-0.690,13.960,10.570,27.480,34.420,13.985,5.953,-0.028,0.148,-0.375,0.147,0.650,0.213,4.677,2.180,0.427,3.042,3.174,3.668,85.307,81.166,62.347,0.337,0.165,0.156,6.146,6.275,54.015,54.015,-0.004,1.001,1.022,1.084,1.100,1.058,-0.109,1.636,0.784,0.922,0.473,0.054,0.187,0.619,1.114,1.126,1.272,158.560,156.670,156.330,155.900,141.540,153.120,155.100,155.100,-0.288,0.105,0.649,0.493,0.314,2.833,3.450,3.484,0.750,0.377,0.287,0
2010-06-02 14:00:00,71.575,0.459,0.000,80.400,74.173,80.400,-0.430,12.590,10.490,25.700,34.240,14.125,5.823,-0.167,0.097,-0.491,-0.502,0.512,0.216,4.707,2.206,0.421,2.997,3.177,3.664,84.001,79.236,55.845,0.356,0.152,0.161,6.103,6.253,51.576,51.576,-0.003,1.001,1.020,1.085,1.100,1.059,-0.126,1.673,0.768,0.921,0.471,0.065,0.160,0.568,1.113,1.126,1.271,158.560,156.570,156.230,155.670,141.640,153.120,154.930,154.930,-0.407,-0.833,0.587,0.496,0.260,2.923,3.525,3.530,0.306,0.011,0.263,0
