datetime,F0,F1,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y
2010-06-02 09:30:00,61.265,0.467,0.300,16.800,58.331,16.800,0.150,0.960,0.970,0.610,0.680,-2.705,2.636,0.304,0.254,-0.193,0.333,2.464,0.968,-0.168,-0.261,0.307,1.120,1.128,1.093,100.000,100.000,100.000,0.702,0.642,0.466,0.305,0.312,90.622,90.622,0.008,1.003,1.012,1.018,0.959,0.965,0.126,0.837,0.457,0.121,0.077,0.169,0.393,2.076,1.709,1.311,1.377,19.710,19.710,19.710,19.710,18.650,19.450,19.560,19.610,-0.317,0.139,1.486,1.842,0.274,1.262,1.233,1.204,0.634,0.617,0.644,0
2010-06-02 10:00:00,61.111,0.466,0.000,45.600,58.183,45.600,0.160,0.960,0.820,0.510,0.520,-2.608,2.665,0.407,0.279,-0.026,-0.310,2.430,0.825,-0.166,-0.261,0.321,1.110,1.128,1.092,91.453,90.991,67.742,0.704,0.642,0.467,0.305,0.312,91.489,91.489,0.008,1.003,1.012,1.019,0.959,0.965,0.120,0.857,0.460,0.123,0.078,0.075,0.372,2.026,1.708,1.310,1.376,19.760,19.760,19.760,19.760,18.650,19.450,19.610,19.610,-0.029,-0.653,1.481,1.823,0.374,1.506,1.279,1.214,0.822,0.732,0.687,1
2010-06-02 10:30:00,60.957,0.465,0.000,109.200,58.035,109.200,0.000,0.910,0.720,0.460,0.520,-2.517,2.658,0.297,0.241,-0.195,-1.527,2.265,0.734,-0.163,-0.261,0.323,1.106,1.128,1.090,88.604,87.988,56.989,0.705,0.642,0.468,0.305,0.312,91.790,91.790,0.000,1.002,1.011,1.020,0.959,0.965,0.092,0.864,0.455,0.124,0.077,0.037,0.315,1.907,1.715,1.312,1.377,19.760,19.760,19.760,19.760,18.650,19.450,19.610,19.610,-0.137,-0.908,1.437,1.768,0.346,1.091,1.008,1.072,0.617,0.417,0.350,0
2010-06-02 11:00:00,61.111,0.466,0.000,145.200,58.183,145.200,0.100,1.010,0.660,0.560,0.510,-2.423,2.657,0.142,0.206,0.313,-0.131,2.499,0.681,-0.161,-0.260,0.314,1.096,1.126,1.088,91.453,90.991,67.742,0.709,0.641,0.472,0.305,0.312,92.131,92.131,0.005,1.002,1.011,1.020,0.960,0.966,0.053,0.875,0.448,0.126,0.075,0.043,0.267,1.764,1.729,1.307,1.373,19.760,19.760,19.760,19.660,18.650,19.450,19.610,19.610,0.419,-0.597,1.433,1.718,0.331,1.322,1.203,1.071,1.000,0.707,0.589,0
2010-06-02 11:30:00,61.111,0.466,0.000,156.000,58.183,156.000,0.210,0.850,0.660,0.560,0.510,-2.334,2.683,0.133,0.162,0.145,0.455,2.036,0.692,-0.158,-0.260,0.299,1.089,1.121,1.088,90.028,88.333,62.366,0.712,0.641,0.478,0.305,0.312,92.747,92.747,0.011,1.002,1.011,1.021,0.960,0.966,0.080,0.888,0.441,0.129,0.073,0.025,0.316,1.435,1.726,1.298,1.373,19.760,19.760,19.760,19.660,18.760,19.450,19.610,19.610,0.238,0.191,1.439,1.626,0.274,1.177,1.021,0.949,0.491,0.355,0.565,0
2010-06-02 12:00:00,60.957,0.465,0.000,157.200,58.035,157.200,0.160,0.850,0.560,0.510,0.460,-2.252,2.731,0.019,0.089,-0.021,-1.156,2.019,0.599,-0.155,-0.260,0.283,1.086,1.119,1.088,87.179,84.737,47.742,0.712,0.640,0.485,0.305,0.312,93.508,93.508,0.008,1.001,1.011,1.021,0.960,0.966,0.125,0.898,0.437,0.134,0.072,0.007,0.171,1.381,1.714,1.290,1.373,19.760,19.760,19.760,19.660,18.810,19.510,19.610,19.610,0.117,-1.580,1.353,1.566,0.228,1.608,1.315,1.173,0.476,0.364,0.380,0
2010-06-02 12:30:00,60.957,0.465,0.000,163.200,58.035,163.200,0.000,0.800,0.510,0.560,0.460,-2.172,2.722,-0.080,0.033,0.156,-1.053,1.867,0.556,-0.153,-0.259,0.229,1.088,1.112,1.087,87.179,84.211,25.000,0.710,0.637,0.492,0.304,0.311,93.643,93.643,0.000,1.000,1.010,1.022,0.960,0.966,0.087,0.896,0.423,0.135,0.069,0.006,0.113,0.997,1.698,1.271,1.374,19.760,19.760,19.760,19.660,18.810,19.560,19.610,19.610,0.272,-0.794,1.307,1.485,0.304,1.364,1.200,1.174,0.556,0.475,0.634,0
2010-06-02 13:00:00,60.957,0.465,0.000,168.000,58.035,168.000,0.050,0.750,0.560,0.560,0.520,-2.096,2.716,-0.139,-0.054,0.162,-0.108,1.719,0.620,-0.150,-0.259,0.221,1.089,1.105,1.086,87.179,83.333,25.000,0.708,0.635,0.502,0.302,0.310,93.819,93.819,0.003,0.999,1.010,1.023,0.960,0.966,0.031,0.894,0.411,0.137,0.067,0.009,0.102,0.933,1.692,1.267,1.372,19.760,19.760,19.660,19.610,18.860,19.560,19.610,19.610,0.242,-0.001,1.356,1.519,0.245,1.283,1.190,1.194,0.770,0.667,0.563,0
2010-06-02 13:30:00,60.957,0.465,0.300,186.000,58.035,186.000,0.000,0.750,0.510,0.560,0.580,-2.022,2.682,-0.211,-0.083,-0.003,-0.013,1.704,0.575,-0.147,-0.258,0.214,1.091,1.098,1.086,84.900,80.044,7.018,0.706,0.628,0.513,0.300,0.309,91.518,91.518,0.000,0.999,1.009,1.023,0.960,0.966,0.004,0.890,0.394,0.136,0.065,0.026,0.087,0.686,1.690,1.266,1.373,19.760,19.760,19.660,19.610,18.910,19.570,19.570,19.570,0.131,0.142,1.296,1.481,0.228,1.325,1.265,1.159,0.748,0.611,0.622,0
2010-06-02 14:00:00,61.111,0.466,0.000,244.800,58.183,244.800,0.000,0.750,0.560,0.610,0.510,-1.947,2.655,-0.097,-0.072,0.175,1.038,1.684,0.637,-0.145,-0.258,0.230,1.095,1.090,1.085,91.453,88.235,47.368,0.699,0.621,0.527,0.299,0.308,91.066,91.066,0.000,0.999,1.008,1.024,0.961,0.966,-0.016,0.886,0.378,0.137,0.063,0.095,0.123,0.623,1.702,1.269,1.374,19.760,19.760,19.660,19.660,18.910,19.570,19.570,19.570,0.260,1.582,1.254,1.487,0.203,1.233,1.173,1.183,0.538,0.475,0.477,0
