datetime,F0,F1,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y
2010-06-02 09:30:00,115.577,0.145,0.200,18.875,98.096,94.375,0.410,3.180,-9.060,-3.180,-3.070,-0.703,-0.316,0.189,0.146,0.428,-1.202,0.368,-0.803,0.421,1.436,0.230,1.989,1.939,2.522,41.317,77.343,43.773,-0.103,-0.060,0.049,4.569,5.155,46.348,46.348,0.002,1.001,1.007,0.981,1.003,1.017,0.001,-0.133,-0.463,-0.017,0.072,0.300,0.623,0.843,1.117,1.083,0.965,191.940,191.110,191.110,191.110,183.760,189.290,189.490,189.680,0.377,-1.010,0.324,-0.827,0.225,0.986,1.956,2.581,-0.223,-0.461,-0.357,1
2010-06-02 10:00:00,115.353,0.145,0.000,28.275,97.905,141.375,-0.430,3.580,-8.710,-5.560,-1.640,-0.673,-0.286,0.036,0.167,0.531,-1.079,0.412,-0.782,0.408,1.432,0.222,1.979,1.940,2.515,39.842,73.839,28.022,-0.094,-0.057,0.050,4.525,5.129,45.943,45.943,-0.002,1.002,1.006,0.982,1.002,1.017,0.001,-0.107,-0.461,-0.027,0.064,0.130,0.641,0.823,1.088,1.075,0.958,191.940,191.110,191.110,190.490,183.760,189.290,189.490,189.680,0.564,-0.977,0.410,-0.749,0.253,0.883,1.728,2.533,0.266,-0.237,-0.183,0
2010-06-02 10:30:00,115.473,0.145,0.100,38.450,98.008,192.250,-0.060,4.380,-9.000,-4.750,-2.280,-0.643,-0.253,-0.067,0.140,0.426,-0.286,0.500,-0.797,0.395,1.428,0.219,1.969,1.940,2.506,40.380,74.654,31.685,-0.082,-0.056,0.051,4.482,5.102,45.614,45.614,-0.000,1.001,1.006,0.982,1.002,1.017,-0.008,-0.080,-0.459,-0.036,0.058,0.044,0.557,0.802,1.074,1.075,0.954,191.940,191.110,191.110,190.000,183.760,189.290,189.680,189.680,0.450,-0.240,0.434,-0.778,0.219,1.060,1.765,2.532,0.266,-0.244,-0.087,0
2010-06-02 11:00:00,115.541,0.145,-0.000,42.825,98.065,214.125,0.070,6.070,-8.700,-3.990,-2.960,-0.599,-0.210,-0.033,0.087,0.457,0.571,0.693,-0.777,0.382,1.423,0.219,1.942,1.940,2.499,41.838,76.389,42.125,-0.065,-0.054,0.053,4.440,5.076,46.413,46.413,0.000,1.001,1.005,0.983,1.002,1.017,0.003,-0.038,-0.458,-0.041,0.052,0.034,0.502,0.785,1.055,1.074,0.950,191.940,191.110,191.110,190.090,183.970,189.290,189.680,189.720,0.430,0.508,0.593,-0.706,0.238,1.112,1.930,2.468,0.584,-0.105,0.010,1
2010-06-02 11:30:00,115.379,0.145,-0.000,49.325,97.925,246.625,0.180,5.140,-8.850,-4.200,-3.010,-0.554,-0.168,-0.020,0.029,0.279,-0.346,0.581,-0.785,0.369,1.419,0.217,1.833,1.940,2.494,40.890,73.400,29.121,-0.043,-0.053,0.056,4.398,5.050,47.067,47.067,0.001,1.000,1.005,0.983,1.001,1.017,0.013,0.044,-0.457,-0.047,0.046,0.028,0.453,0.738,1.043,1.073,0.946,191.940,191.110,191.110,190.090,183.970,189.290,189.680,189.760,0.216,-0.396,0.543,-0.738,0.189,1.244,2.249,2.530,0.209,0.171,0.076,1
2010-06-02 12:00:00,115.254,0.145,0.000,62.925,97.822,314.625,0.130,4.670,-8.420,-4.370,-3.050,-0.515,-0.130,-0.178,-0.064,0.194,-0.892,0.524,-0.757,0.357,1.414,0.223,1.740,1.941,2.489,39.044,69.427,18.027,-0.020,-0.047,0.059,4.360,5.026,47.280,47.280,0.001,0.999,1.005,0.984,1.001,1.017,0.007,0.116,-0.455,-0.052,0.041,0.053,0.249,0.722,1.044,1.072,0.940,191.940,191.110,190.490,189.950,183.970,189.150,189.150,189.150,0.156,-0.801,0.520,-0.690,0.239,1.219,2.141,2.539,0.232,0.183,0.100,1
2010-06-02 12:30:00,115.421,0.145,0.100,67.225,97.962,336.125,0.190,5.030,-8.520,-3.890,-2.850,-0.475,-0.085,-0.225,-0.114,0.207,0.097,0.561,-0.761,0.345,1.410,0.225,1.651,1.941,2.484,40.358,71.853,27.891,0.007,-0.046,0.064,4.322,5.001,48.314,48.314,0.001,0.999,1.004,0.984,1.000,1.017,0.009,0.184,-0.454,-0.057,0.037,0.050,0.134,0.691,1.037,1.071,0.939,191.940,191.110,190.090,189.830,183.970,189.150,189.150,189.150,0.154,0.041,0.510,-0.667,0.258,1.253,2.225,2.655,0.235,0.188,0.105,1
2010-06-02 13:00:00,115.525,0.145,0.100,75.525,98.054,377.625,0.340,5.430,-8.360,-3.410,-2.310,-0.431,-0.035,-0.087,-0.117,0.207,0.725,0.603,-0.749,0.332,1.406,0.227,1.534,1.941,2.479,42.216,75.282,41.837,0.038,-0.039,0.069,4.284,4.977,50.457,50.457,0.002,0.999,1.004,0.985,1.000,1.017,0.024,0.261,-0.451,-0.061,0.033,0.036,0.135,0.673,1.034,1.071,0.937,191.940,191.110,190.090,190.010,183.970,189.150,189.150,189.580,0.169,0.657,0.548,-0.669,0.226,1.223,2.321,2.732,0.235,0.203,0.214,1
2010-06-02 13:30:00,115.541,0.145,0.100,79.550,98.065,397.750,0.370,5.840,-8.190,-1.480,-3.930,-0.382,0.015,-0.033,-0.116,0.250,0.250,0.646,-0.737,0.320,1.401,0.227,1.396,1.942,2.475,42.791,74.969,40.816,0.071,-0.031,0.074,4.247,4.953,52.535,52.535,0.002,0.999,1.004,0.985,1.000,1.017,0.031,0.340,-0.446,-0.062,0.028,0.036,0.122,0.657,1.030,1.070,0.931,191.940,191.110,190.130,190.130,183.990,189.150,189.150,189.890,0.238,1.068,0.550,-0.645,0.238,1.296,2.221,2.526,0.237,0.198,0.153,1
2010-06-02 14:00:00,115.426,0.145,-0.000,82.575,97.967,412.875,-0.540,4.500,-7.380,-2.080,-3.070,-0.339,0.019,-0.021,-0.094,0.214,-0.295,0.486,-0.686,0.308,1.397,0.175,1.313,1.940,2.472,42.764,73.920,36.565,0.099,-0.026,0.078,4.211,4.929,48.280,48.280,-0.003,0.999,1.003,0.986,0.999,1.017,-0.014,0.388,-0.438,-0.063,0.022,0.026,0.148,0.527,1.021,1.065,0.929,191.940,191.110,190.130,190.130,183.990,189.150,189.150,189.840,0.219,-0.072,0.485,-0.581,0.134,1.189,1.827,2.378,-0.015,-0.227,-0.085,1
