datetime,F0,F1,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y
2010-06-02 09:30:00,25.285,0.182,0.300,78.000,154.763,78.000,2.100,12.250,14.910,1.860,25.380,-1.346,4.551,0.053,-0.187,-0.863,2.010,1.399,0.575,-2.798,-0.960,0.276,2.367,1.999,2.066,85.582,83.882,70.166,0.304,0.302,0.129,6.162,6.276,53.376,53.376,0.009,0.998,1.021,1.022,0.967,0.963,-0.080,1.208,0.742,0.013,0.286,0.213,0.462,0.826,1.687,1.337,1.038,245.740,243.390,242.730,242.730,224.460,239.770,239.770,240.520,-0.597,1.476,1.407,0.728,0.389,2.663,2.243,1.859,0.469,0.335,0.257,1
2010-06-02 10:00:00,25.586,0.184,0.000,422.000,156.612,422.000,2.240,17.710,16.970,3.440,29.180,-1.251,4.569,0.784,0.056,-0.336,2.651,1.953,0.691,-2.753,-0.963,0.407,2.363,1.995,2.051,98.683,98.528,100.000,0.307,0.305,0.134,6.148,6.268,55.904,55.904,0.009,1.001,1.021,1.023,0.967,0.963,0.054,1.186,0.733,0.021,0.278,0.435,0.647,1.044,1.735,1.372,1.057,245.740,245.630,245.630,245.630,224.460,239.770,239.770,241.470,-0.273,1.828,1.495,0.794,0.404,2.243,1.981,1.860,0.526,0.401,0.223,0
2010-06-02 10:30:00,25.540,0.183,-0.100,499.400,156.338,499.400,2.140,16.990,16.980,3.690,27.050,-1.153,4.594,1.416,0.307,-0.455,1.221,1.869,0.695,-2.707,-0.967,0.406,2.358,1.993,2.032,98.781,98.637,96.928,0.312,0.310,0.143,6.144,6.264,58.595,58.595,0.009,1.003,1.021,1.025,0.967,0.963,0.159,1.166,0.726,0.028,0.270,0.412,0.673,1.056,1.747,1.381,1.058,245.740,245.630,245.630,245.630,224.460,239.770,239.770,243.820,-0.340,1.347,1.487,0.935,0.443,2.714,2.161,2.062,0.546,0.420,0.242,1
2010-06-02 11:00:00,25.518,0.183,-0.000,529.400,156.197,529.400,2.810,18.880,16.310,4.710,26.350,-1.044,4.623,1.339,0.535,-0.306,-0.618,2.069,0.657,-2.661,-0.970,0.402,2.357,1.989,2.011,96.960,96.601,89.534,0.317,0.315,0.152,6.139,6.261,61.216,61.216,0.012,1.005,1.020,1.026,0.968,0.963,0.169,1.165,0.719,0.037,0.263,0.109,0.676,1.026,1.733,1.385,1.057,245.740,245.630,245.630,245.630,224.460,239.770,240.520,244.980,-0.215,-0.557,1.472,0.932,0.336,2.701,2.149,2.046,0.553,0.494,0.309,1
2010-06-02 11:30:00,25.546,0.184,0.100,564.800,156.370,564.800,4.140,19.710,17.140,4.980,24.870,-0.929,4.660,1.124,0.693,-0.346,-0.229,2.146,0.709,-2.614,-0.972,0.394,2.346,1.987,1.993,97.184,96.852,90.444,0.344,0.321,0.162,6.135,6.258,63.934,63.934,0.017,1.007,1.020,1.027,0.968,0.964,0.178,1.194,0.713,0.045,0.255,0.068,0.673,1.004,1.725,1.389,1.058,245.740,245.630,245.630,245.250,224.460,239.770,240.520,244.330,-0.259,-0.579,1.486,0.991,0.414,2.822,2.246,2.028,0.552,0.264,0.168,1
2010-06-02 12:00:00,25.484,0.183,0.000,580.200,155.987,580.200,4.610,17.590,17.100,3.860,23.540,-0.823,4.736,0.909,0.804,-0.440,-0.559,1.905,0.711,-2.567,-0.974,0.370,2.344,1.988,1.974,95.502,94.972,83.618,0.352,0.327,0.174,6.130,6.255,67.422,67.422,0.019,1.008,1.020,1.028,0.969,0.964,0.225,1.214,0.713,0.053,0.248,0.055,0.650,0.961,1.726,1.391,1.052,245.740,245.630,245.630,245.250,224.460,239.770,241.470,244.330,-0.340,-0.580,1.487,0.999,0.398,2.841,2.190,2.000,0.560,0.604,0.389,1
2010-06-02 12:30:00,25.467,0.183,0.000,592.600,155.885,592.600,3.880,17.600,16.710,3.930,21.930,-0.715,4.816,0.762,0.861,-0.533,-0.958,1.899,0.689,-2.519,-0.976,0.365,2.334,1.988,1.952,95.054,94.471,81.797,0.383,0.332,0.187,6.126,6.252,70.597,70.597,0.016,1.009,1.020,1.029,0.969,0.964,0.268,1.249,0.714,0.059,0.239,0.031,0.583,0.928,1.724,1.393,1.052,245.740,245.630,245.630,244.930,224.460,239.770,243.820,244.440,-0.407,-1.140,1.483,0.935,0.345,2.411,2.145,1.942,0.718,0.410,0.279,0
2010-06-02 13:00:00,25.535,0.183,0.100,604.400,156.306,604.400,4.940,18.030,17.310,4.010,23.110,-0.609,4.906,0.672,0.709,-0.376,-0.132,1.933,0.725,-2.471,-0.978,0.362,2.313,1.990,1.932,96.749,96.366,88.680,0.414,0.338,0.201,6.122,6.249,73.601,73.601,0.021,1.007,1.020,1.030,0.970,0.964,0.283,1.298,0.718,0.063,0.232,0.029,0.216,0.890,1.722,1.394,1.052,245.740,245.630,245.630,245.150,224.460,239.770,244.330,244.440,-0.302,-0.176,1.490,1.029,0.403,2.596,2.266,2.011,0.704,0.434,0.297,0
2010-06-02 13:30:00,25.478,0.183,-0.200,616.400,155.955,616.400,4.160,17.430,17.100,6.580,21.050,-0.500,4.998,0.549,0.526,-0.181,-0.423,1.862,0.717,-2.423,-0.979,0.362,2.287,1.991,1.916,95.670,95.160,84.300,0.446,0.343,0.216,6.118,6.245,76.247,76.247,0.017,1.005,1.021,1.032,0.970,0.965,0.295,1.352,0.721,0.071,0.223,0.029,0.143,0.864,1.748,1.395,1.036,245.740,245.630,245.250,245.150,224.460,239.770,244.330,244.550,-0.161,-0.482,1.482,1.020,0.305,2.309,2.108,1.931,0.711,0.440,0.307,0
2010-06-02 14:00:00,25.467,0.183,-0.000,623.200,155.891,623.200,4.000,16.430,18.500,5.220,21.070,-0.399,5.070,0.348,0.364,-0.243,-0.908,1.743,0.807,-2.374,-0.980,0.367,2.270,1.993,1.899,94.858,94.251,81.001,0.478,0.348,0.231,6.114,6.242,78.329,78.329,0.017,1.004,1.021,1.033,0.971,0.965,0.279,1.390,0.729,0.080,0.215,0.023,0.117,0.849,1.744,1.392,1.035,245.740,245.630,245.250,244.980,224.460,239.770,244.330,244.500,-0.338,-0.718,1.457,1.157,0.406,2.492,1.996,1.821,0.317,0.092,0.083,0
