datetime,F0,F1,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y
2010-06-02 09:30:00,64.343,0.193,0.000,24.800,67.198,49.600,-3.100,2.080,1.950,-1.220,15.370,6.807,6.018,-2.425,-1.397,-0.328,-1.078,0.618,-0.318,0.817,2.797,0.682,2.768,3.004,2.438,61.822,53.779,0.450,0.230,0.152,0.086,2.585,2.478,75.577,75.577,-0.043,0.986,1.035,1.004,1.051,1.170,-0.373,1.441,0.430,0.147,0.559,0.183,0.454,1.075,1.324,1.063,0.740,72.910,72.910,71.090,70.280,64.840,69.140,69.140,69.140,-0.349,-1.282,0.900,-0.288,0.467,4.474,3.743,2.985,-0.026,-0.019,-0.194,0
2010-06-02 10:00:00,64.247,0.193,0.100,67.000,67.101,134.000,-3.420,3.240,2.100,-1.050,15.700,6.839,5.554,-2.651,-1.436,-0.199,0.209,0.979,-0.287,0.820,2.795,0.432,2.883,3.023,2.459,59.707,51.219,5.569,0.222,0.153,0.085,2.609,2.491,63.282,63.282,-0.047,0.986,1.030,1.005,1.050,1.170,-0.644,1.330,0.418,0.122,0.546,0.167,0.447,1.018,1.309,1.061,0.741,72.910,72.760,70.860,69.450,64.840,68.750,68.750,68.750,-0.300,0.517,1.081,-0.137,0.478,4.070,3.355,2.750,0.265,0.142,-0.007,0
2010-06-02 10:30:00,64.267,0.193,-0.100,76.400,67.120,152.800,-3.620,3.210,1.890,-0.690,15.670,6.888,5.097,-2.450,-1.416,-0.313,1.018,0.963,-0.324,0.823,2.792,0.443,2.990,3.043,2.481,60.594,52.292,7.809,0.209,0.154,0.083,2.631,2.503,53.935,53.935,-0.050,0.986,1.025,1.006,1.050,1.170,-0.822,1.239,0.405,0.099,0.533,0.105,0.412,0.982,1.306,1.058,0.736,72.910,72.720,70.860,69.100,64.840,68.750,68.750,68.750,-0.420,1.162,1.072,-0.134,0.477,3.997,3.403,2.736,0.260,0.282,0.074,0
2010-06-02 11:00:00,64.228,0.193,0.000,84.200,67.081,168.400,-3.570,3.990,1.840,0.020,15.670,6.948,4.633,-2.002,-1.418,-0.190,1.154,1.208,-0.331,0.826,2.789,0.435,3.087,3.063,2.502,59.638,51.136,5.582,0.210,0.155,0.078,2.651,2.514,46.373,46.373,-0.049,0.986,1.020,1.007,1.050,1.169,-0.823,1.163,0.391,0.080,0.520,0.037,0.400,0.952,1.290,1.055,0.733,72.910,72.610,70.860,69.100,64.840,68.750,68.750,68.880,-0.236,0.884,1.211,-0.149,0.523,4.210,3.680,2.812,0.258,-0.086,-0.121,0
2010-06-02 11:30:00,64.228,0.193,0.100,89.200,67.081,178.400,-3.400,3.940,1.740,0.170,15.220,7.017,4.189,-1.624,-1.355,-0.266,1.092,1.182,-0.347,0.828,2.787,0.445,3.154,3.086,2.521,59.775,51.241,6.378,0.219,0.158,0.072,2.670,2.525,40.454,40.454,-0.047,0.986,1.015,1.007,1.050,1.169,-0.816,1.118,0.375,0.062,0.507,0.029,0.377,0.895,1.287,1.049,0.730,72.910,72.160,70.280,69.020,64.850,68.750,68.750,68.880,-0.356,0.893,1.216,-0.183,0.431,4.024,3.622,2.723,0.264,0.058,-0.158,0
2010-06-02 12:00:00,64.496,0.194,-0.100,116.000,67.363,232.000,-2.250,4.100,2.240,0.280,15.260,7.089,3.840,-1.177,-1.203,-0.197,1.505,1.219,-0.252,0.831,2.784,0.445,3.191,3.094,2.532,63.084,55.252,19.135,0.230,0.161,0.066,2.677,2.530,36.616,36.616,-0.031,0.988,1.011,1.008,1.050,1.169,-0.706,1.089,0.369,0.048,0.495,0.080,0.341,0.812,1.286,1.048,0.731,72.910,71.600,69.450,69.370,64.850,68.750,68.750,68.940,-0.313,0.976,1.249,-0.056,0.396,3.043,3.187,2.525,0.273,0.068,-0.155,0
2010-06-02 12:30:00,64.324,0.193,0.000,122.800,67.179,245.600,-2.140,3.800,2.110,-0.370,14.500,7.158,3.550,-0.779,-0.977,-0.272,0.941,1.115,-0.273,0.833,2.782,0.449,3.214,3.099,2.540,61.310,53.102,15.219,0.240,0.165,0.059,2.677,2.531,33.772,33.772,-0.030,0.990,1.007,1.009,1.050,1.169,-0.556,1.068,0.364,0.036,0.482,0.091,0.264,0.763,1.295,1.050,0.726,72.910,71.220,69.370,69.370,64.850,68.750,68.750,69.000,-0.403,0.851,1.204,-0.078,0.495,2.849,2.875,2.317,0.290,0.236,-0.054,0
2010-06-02 13:00:00,64.496,0.194,-0.100,134.600,67.363,269.200,-1.780,3.860,2.620,0.090,15.180,7.228,3.326,-0.446,-0.683,-0.234,0.578,1.122,-0.173,0.835,2.779,0.459,3.217,3.099,2.543,63.562,55.831,26.511,0.251,0.168,0.051,2.672,2.529,31.817,31.817,-0.025,0.993,1.005,1.010,1.050,1.169,-0.434,1.066,0.363,0.028,0.472,0.058,0.211,0.663,1.291,1.048,0.724,72.910,70.860,69.500,69.500,64.850,68.750,68.880,69.120,-0.429,0.342,1.236,0.042,0.480,2.904,2.876,2.333,0.343,0.275,-0.033,0
2010-06-02 13:30:00,64.458,0.193,0.000,142.200,67.324,284.400,-1.330,4.200,2.600,0.450,14.800,7.304,3.125,-0.253,-0.468,-0.294,0.761,1.223,-0.174,0.838,2.776,0.452,3.197,3.098,2.545,62.538,54.327,23.697,0.264,0.172,0.043,2.663,2.526,30.154,30.154,-0.019,0.995,1.002,1.011,1.050,1.169,-0.345,1.083,0.365,0.021,0.461,0.068,0.231,0.594,1.287,1.047,0.720,72.910,70.860,69.500,69.500,64.920,68.750,68.880,69.150,-0.470,0.803,1.215,0.045,0.523,2.715,2.961,2.393,0.370,0.303,0.091,1
2010-06-02 14:00:00,64.037,0.192,-0.100,157.600,66.887,315.200,-1.780,3.450,2.640,-0.460,14.520,7.369,2.887,-0.324,-0.262,-0.594,-0.471,0.981,-0.159,0.840,2.774,0.451,3.194,3.097,2.548,58.410,49.145,4.581,0.278,0.177,0.034,2.654,2.523,28.210,28.210,-0.025,0.997,0.999,1.012,1.050,1.169,-0.359,1.086,0.366,0.014,0.451,0.085,0.271,0.565,1.284,1.042,0.721,72.910,70.860,69.500,69.270,64.920,68.750,68.820,68.820,-1.354,-0.278,1.164,0.126,0.490,2.675,2.786,2.344,0.355,0.307,0.071,1
