datetime,F0,F1,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y
2010-06-02 09:30:00,120.686,0.632,0.000,6.100,73.099,6.100,10.740,13.970,30.900,58.280,105.890,13.573,2.680,0.794,0.675,-0.284,-1.087,0.149,0.719,11.831,14.722,0.611,1.791,1.590,1.780,91.034,84.776,81.042,0.256,0.380,0.381,10.916,10.558,73.475,73.475,0.026,1.007,1.012,1.061,1.126,1.140,0.467,0.661,0.677,0.757,0.488,0.190,0.419,1.398,1.284,2.044,1.650,420.220,420.220,420.220,420.220,399.660,403.710,415.740,416.720,-1.413,-1.220,0.121,0.832,0.583,2.008,2.061,2.204,0.209,0.330,0.284,1
2010-06-02 10:00:00,120.802,0.633,0.100,9.400,73.169,9.400,12.020,15.450,27.860,52.130,103.850,13.598,2.852,0.315,0.412,0.036,-0.705,0.278,0.530,11.865,14.753,0.604,1.812,1.595,1.784,89.916,84.955,79.991,0.256,0.382,0.381,10.994,10.600,75.867,75.867,0.030,1.004,1.014,1.061,1.127,1.141,0.452,0.690,0.706,0.764,0.488,0.134,0.446,1.344,1.290,2.027,1.643,420.220,420.220,420.220,418.140,399.660,404.760,415.740,415.830,0.454,-0.720,0.263,0.731,0.671,1.793,1.658,2.143,0.212,0.352,0.354,0
2010-06-02 10:30:00,121.137,0.635,0.100,12.600,73.375,12.600,12.810,15.050,26.180,54.950,103.120,13.618,3.035,0.031,0.201,0.494,-0.095,0.233,0.423,11.899,14.785,0.603,1.832,1.607,1.789,92.234,88.732,83.947,0.255,0.382,0.380,11.060,10.637,78.059,78.059,0.032,1.002,1.016,1.061,1.127,1.141,0.464,0.715,0.727,0.766,0.488,0.057,0.425,1.332,1.289,1.996,1.644,420.220,420.220,420.220,418.470,399.660,406.610,415.830,415.830,0.923,0.184,0.210,0.530,0.680,1.850,1.580,1.850,0.207,0.478,0.479,0
2010-06-02 11:00:00,121.781,0.638,-0.100,20.700,73.767,20.700,5.270,18.700,25.440,58.410,105.960,13.653,3.133,0.218,0.162,1.312,0.533,0.560,0.371,11.934,14.817,0.378,1.839,1.610,1.790,98.801,98.265,93.527,0.256,0.380,0.381,11.024,10.622,79.330,79.330,0.013,1.002,1.016,1.061,1.127,1.142,0.381,0.727,0.732,0.763,0.487,0.114,0.539,1.151,1.301,1.957,1.650,420.980,420.980,420.980,420.980,399.660,414.830,415.830,416.150,1.451,1.308,0.416,0.386,0.274,2.034,1.662,1.986,0.676,0.522,0.564,0
2010-06-02 11:30:00,121.846,0.639,-0.100,26.100,73.808,26.100,5.880,19.120,26.370,58.120,107.510,13.696,3.195,0.565,0.141,1.365,0.574,0.593,0.426,11.969,14.849,0.303,1.841,1.610,1.789,99.179,98.827,95.907,0.259,0.376,0.381,10.948,10.587,80.298,80.298,0.014,1.001,1.017,1.061,1.127,1.142,0.259,0.737,0.732,0.757,0.487,0.142,0.447,1.094,1.311,1.954,1.652,421.250,421.250,421.250,421.250,399.660,415.060,415.830,417.840,1.354,0.886,0.474,0.430,0.335,1.900,1.621,1.880,0.646,0.493,0.543,0
2010-06-02 12:00:00,121.665,0.638,0.100,28.400,73.697,28.400,3.350,18.720,25.410,56.860,101.150,13.736,3.227,0.592,0.121,1.226,-0.586,0.552,0.371,12.004,14.881,0.304,1.841,1.609,1.788,96.576,95.106,80.823,0.264,0.373,0.382,10.865,10.548,80.994,80.994,0.008,1.001,1.017,1.062,1.127,1.143,0.194,0.744,0.729,0.750,0.485,0.093,0.416,0.945,1.313,1.953,1.651,421.250,421.250,421.250,421.250,399.660,415.740,415.830,419.960,1.580,-0.503,0.420,0.356,0.340,1.992,1.577,1.826,0.588,0.223,0.361,0
2010-06-02 12:30:00,121.279,0.636,-0.100,30.500,73.464,30.500,1.160,17.770,24.880,54.780,101.590,13.774,3.213,0.392,0.166,1.167,-1.181,0.462,0.343,12.040,14.914,0.298,1.837,1.607,1.788,93.562,90.798,63.944,0.282,0.369,0.384,10.780,10.508,81.313,81.313,0.003,1.002,1.016,1.062,1.128,1.143,0.119,0.756,0.719,0.740,0.482,0.058,0.322,0.868,1.316,1.954,1.649,421.250,421.250,421.250,421.200,399.660,415.740,415.830,418.980,1.506,-0.962,0.360,0.312,0.298,2.256,1.720,1.767,0.561,0.204,0.348,0
2010-06-02 13:00:00,121.356,0.636,-0.200,33.300,73.515,33.300,1.740,16.530,27.050,55.860,102.070,13.810,3.197,0.279,0.248,1.263,-0.656,0.338,0.471,12.075,14.946,0.302,1.832,1.607,1.788,93.951,89.913,66.122,0.297,0.365,0.384,10.696,10.468,81.672,81.672,0.004,1.002,1.016,1.062,1.128,1.143,0.076,0.768,0.712,0.732,0.478,0.064,0.312,0.880,1.311,1.944,1.650,421.250,421.250,421.250,421.080,402.750,415.740,416.150,418.770,1.435,-0.765,0.291,0.373,0.294,2.295,1.685,1.830,0.549,0.382,0.400,0
2010-06-02 13:30:00,120.673,0.632,-0.100,39.900,73.101,39.900,0.030,13.070,23.270,54.020,101.130,13.832,3.165,0.060,0.262,1.080,-1.092,0.014,0.252,12.111,14.979,0.327,1.832,1.605,1.788,86.865,77.970,25.619,0.295,0.359,0.383,10.614,10.429,81.817,81.817,0.000,1.003,1.016,1.062,1.128,1.144,0.058,0.768,0.701,0.725,0.476,0.121,0.353,0.882,1.316,1.951,1.654,421.250,421.250,421.250,421.080,402.900,415.830,416.910,416.910,1.275,-0.905,-0.125,0.204,0.343,2.413,1.852,1.772,0.551,0.407,0.414,0
2010-06-02 14:00:00,120.686,0.632,-0.100,42.700,73.110,42.700,0.320,13.490,24.720,50.990,100.190,13.849,3.121,-0.270,0.161,1.079,-1.060,0.047,0.338,12.146,15.012,0.330,1.834,1.604,1.788,86.768,77.748,24.662,0.294,0.352,0.388,10.531,10.389,81.814,81.814,0.001,1.002,1.015,1.062,1.128,1.144,0.022,0.761,0.688,0.713,0.473,0.122,0.285,0.877,1.323,1.948,1.650,421.250,421.250,421.250,419.710,402.900,415.830,416.780,416.780,1.067,-1.142,-0.077,0.255,0.346,2.280,1.587,1.490,0.546,0.592,0.567,0
