datetime,F0,F1,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y
2010-06-02 09:30:00,22.088,0.742,-0.200,4.400,125.653,4.400,-1.640,2.160,1.510,-10.250,29.310,2.053,0.906,-0.611,-0.246,-0.412,-0.033,0.660,-0.366,-0.173,8.709,0.288,1.664,1.738,1.906,57.150,45.888,47.194,0.243,0.094,0.080,4.088,4.665,23.246,23.246,-0.009,0.998,0.995,0.984,1.013,1.198,-0.141,0.549,-0.025,-0.228,0.380,0.253,0.543,0.818,1.430,0.979,0.804,194.020,190.370,189.600,188.870,184.090,187.070,187.070,187.070,-0.729,-0.046,0.890,-0.351,0.299,1.549,1.303,1.648,-0.248,-0.220,-0.296,1
2010-06-02 10:00:00,22.099,0.743,0.200,10.800,125.720,10.800,-1.010,3.230,3.450,-10.750,27.940,2.054,0.821,-0.430,-0.250,-0.037,2.698,0.817,-0.234,-0.183,8.681,0.301,1.671,1.726,1.903,55.130,43.337,44.707,0.241,0.097,0.079,4.074,4.653,21.251,21.251,-0.005,0.998,0.994,0.985,1.013,1.198,-0.157,0.514,-0.012,-0.234,0.371,0.121,0.573,0.769,1.431,0.974,0.803,194.020,190.030,189.210,188.870,184.090,187.070,187.070,187.370,-0.356,1.411,0.947,-0.181,0.294,1.994,1.552,1.796,0.170,0.238,-0.023,1
2010-06-02 10:30:00,22.133,0.744,0.300,14.800,125.920,14.800,-0.510,4.400,3.840,-8.710,27.200,2.062,0.763,-0.258,-0.243,0.104,0.827,0.989,-0.206,-0.193,8.654,0.299,1.675,1.711,1.898,56.858,45.519,52.027,0.238,0.100,0.074,4.056,4.640,20.109,20.109,-0.003,0.998,0.994,0.985,1.012,1.197,-0.117,0.488,0.004,-0.237,0.362,0.047,0.514,0.713,1.435,0.972,0.799,194.020,190.030,189.210,188.980,184.090,187.070,187.070,187.910,-0.172,0.618,1.026,-0.172,0.281,2.234,1.685,1.798,0.163,0.068,-0.154,1
2010-06-02 11:00:00,22.150,0.744,-0.100,18.400,126.019,18.400,0.270,4.890,3.600,-6.370,27.490,2.078,0.753,-0.075,-0.236,0.097,0.706,1.056,-0.222,-0.202,8.627,0.306,1.676,1.689,1.885,61.244,51.057,70.608,0.236,0.106,0.067,4.039,4.626,20.943,20.943,0.001,0.998,0.993,0.986,1.012,1.197,-0.036,0.478,0.029,-0.232,0.353,0.038,0.476,0.643,1.435,0.971,0.794,194.020,190.030,189.220,189.220,184.090,187.070,187.070,187.910,-0.162,0.409,1.126,-0.212,0.272,2.299,1.715,1.782,0.205,0.189,-0.078,0
2010-06-02 11:30:00,22.082,0.742,-0.100,21.400,125.633,21.400,-1.040,3.430,2.530,-6.200,26.660,2.091,0.704,0.003,-0.231,-0.071,-0.510,0.829,-0.293,-0.212,8.600,0.300,1.678,1.675,1.869,56.991,41.491,52.590,0.231,0.111,0.059,4.021,4.613,19.934,19.934,-0.005,0.998,0.993,0.986,1.012,1.197,-0.027,0.459,0.045,-0.226,0.344,0.034,0.419,0.632,1.438,0.969,0.791,194.020,190.030,189.220,189.220,185.120,187.070,187.070,188.550,-0.266,-0.698,1.012,-0.289,0.407,2.106,1.606,1.829,0.218,0.098,-0.130,1
2010-06-02 12:00:00,22.076,0.742,-0.100,29.400,125.600,29.400,-1.290,3.040,3.110,-5.410,26.310,2.096,0.642,-0.074,-0.125,-0.213,-0.676,0.765,-0.252,-0.222,8.573,0.298,1.681,1.658,1.845,57.124,39.588,53.153,0.224,0.116,0.049,4.005,4.600,18.630,18.630,-0.007,0.999,0.992,0.987,1.012,1.196,-0.084,0.431,0.061,-0.219,0.334,0.057,0.247,0.625,1.450,0.969,0.785,194.020,190.030,189.220,189.080,185.120,187.070,187.370,188.500,-0.431,-0.304,0.946,-0.225,0.279,1.955,1.439,1.779,-0.054,-0.062,-0.224,1
2010-06-02 12:30:00,22.054,0.741,-0.200,32.000,125.473,32.000,-1.280,2.450,3.400,-5.550,25.530,2.097,0.572,-0.071,-0.031,-0.294,-0.070,0.671,-0.231,-0.232,8.547,0.298,1.683,1.633,1.819,56.007,35.098,56.653,0.215,0.121,0.039,3.985,4.585,17.267,17.267,-0.007,1.000,0.991,0.987,1.012,1.196,-0.102,0.399,0.082,-0.212,0.324,0.061,0.160,0.562,1.452,0.967,0.781,194.020,189.600,189.220,188.740,185.520,187.070,187.910,188.310,-0.522,-0.170,0.865,-0.216,0.306,1.814,1.432,1.789,0.091,0.187,-0.077,1
2010-06-02 13:00:00,22.099,0.743,-0.100,34.200,125.726,34.200,-0.910,2.830,4.310,-6.030,25.010,2.095,0.526,-0.022,0.025,-0.222,0.499,0.723,-0.168,-0.241,8.520,0.295,1.680,1.604,1.798,58.293,38.471,69.816,0.206,0.127,0.027,3.962,4.569,16.608,16.608,-0.005,1.000,0.990,0.987,1.012,1.196,-0.080,0.370,0.106,-0.206,0.315,0.029,0.143,0.537,1.456,0.964,0.777,194.020,189.400,189.220,188.840,185.520,187.070,187.910,188.310,-0.477,0.207,0.831,-0.152,0.256,1.820,1.553,1.880,0.102,0.131,-0.112,1
2010-06-02 13:30:00,22.088,0.742,-0.000,34.600,125.666,34.600,-0.360,2.050,4.760,-6.220,22.190,2.093,0.492,0.041,0.053,-0.162,0.553,0.601,-0.136,-0.251,8.493,0.286,1.677,1.577,1.780,57.150,27.905,73.333,0.196,0.134,0.015,3.934,4.550,16.270,16.270,-0.002,1.001,0.990,0.988,1.012,1.195,-0.040,0.348,0.130,-0.199,0.303,0.017,0.127,0.514,1.454,0.964,0.771,194.020,189.220,189.220,188.840,186.740,187.070,188.310,188.500,-0.466,1.109,0.676,-0.133,0.220,1.552,1.522,1.838,0.098,0.193,-0.070,1
2010-06-02 14:00:00,22.065,0.742,-0.100,34.800,125.533,34.800,-0.420,-1.480,4.460,-9.030,22.090,2.066,0.456,0.019,0.022,-0.145,-0.357,0.084,-0.156,-0.260,8.466,0.285,1.655,1.550,1.765,56.247,21.055,68.062,0.182,0.142,0.002,3.905,4.531,15.845,15.845,-0.002,1.000,0.990,0.988,1.012,1.195,-0.030,0.305,0.153,-0.194,0.291,0.005,0.135,0.420,1.391,0.954,0.768,194.020,189.220,189.080,188.690,187.070,187.070,188.310,188.400,-0.452,-0.152,0.247,-0.148,0.402,1.092,1.572,1.744,0.071,0.132,0.005,1
