datetime,F0,F1,F2,F3,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,Y
2010-06-02 09:30:00,196.554,1.016,-0.200,1.900,152.168,1.900,-2.090,9.960,-3.210,-2.280,-9.120,-7.695,2.254,-0.111,-0.387,-0.098,1.078,1.128,-0.148,-5.093,-4.218,0.391,1.191,2.137,1.873,83.246,79.256,47.416,0.391,0.031,0.083,5.832,6.301,45.611,45.611,-0.009,0.996,1.012,0.985,0.912,0.941,-0.212,0.924,-0.175,-0.071,-0.019,0.251,0.501,1.393,1.275,1.581,1.508,240.830,239.880,237.790,237.790,224.890,235.140,235.140,235.550,-0.107,0.893,0.913,0.111,0.386,1.409,2.222,1.978,0.441,-0.018,0.133,0
2010-06-02 10:00:00,198.734,1.028,-0.000,10.300,153.875,10.300,-0.020,13.630,-0.600,-0.290,-4.850,-7.604,2.236,0.334,-0.204,0.375,3.120,1.459,-0.031,-5.075,-4.231,0.419,1.200,2.136,1.872,90.625,89.000,82.077,0.387,0.029,0.084,5.815,6.289,44.753,44.753,-0.000,0.998,1.011,0.986,0.912,0.941,-0.127,0.906,-0.180,-0.066,-0.021,0.177,0.574,1.279,1.278,1.588,1.513,240.830,239.950,239.950,239.950,224.890,235.140,235.140,236.130,0.293,1.908,1.139,0.388,0.492,0.940,2.084,2.056,0.484,0.140,0.329,1
2010-06-02 10:30:00,199.191,1.030,0.100,15.400,154.234,15.400,1.250,12.950,0.580,0.270,-4.430,-7.513,2.261,1.011,0.110,0.512,1.870,1.378,0.025,-5.055,-4.243,0.468,1.199,2.136,1.872,95.772,95.797,95.666,0.386,0.033,0.085,5.806,6.281,45.977,45.977,0.005,1.001,1.010,0.987,0.912,0.941,0.004,0.887,-0.174,-0.060,-0.022,0.131,0.608,1.245,1.266,1.593,1.517,240.830,240.420,240.420,240.420,224.890,235.140,235.140,237.420,0.402,1.606,1.194,0.733,0.453,0.617,1.971,1.769,1.000,0.272,0.265,0
2010-06-02 11:00:00,197.539,1.021,0.200,19.700,152.957,19.700,0.450,12.930,-2.250,-1.190,-9.690,-7.424,2.278,1.061,0.326,0.095,-0.864,1.376,-0.096,-5.035,-4.255,0.490,1.202,2.135,1.872,86.081,82.999,56.439,0.380,0.036,0.081,5.797,6.273,46.533,46.533,0.002,1.003,1.009,0.988,0.912,0.941,0.038,0.874,-0.164,-0.055,-0.024,0.093,0.572,1.227,1.252,1.599,1.519,240.830,240.420,240.420,240.420,224.890,235.140,235.140,237.880,0.056,-0.744,1.169,0.396,0.477,1.181,2.214,1.829,0.432,0.264,0.179,1
2010-06-02 11:30:00,197.855,1.023,0.000,21.200,153.208,21.200,2.150,13.530,-1.340,0.440,-18.610,-7.325,2.328,0.723,0.505,0.118,-1.017,1.419,-0.052,-5.014,-4.267,0.470,1.196,2.135,1.872,89.121,86.554,68.561,0.393,0.043,0.079,5.789,6.265,48.802,48.802,0.009,1.005,1.009,0.989,0.912,0.941,0.056,0.885,-0.152,-0.050,-0.028,0.062,0.512,1.148,1.254,1.608,1.515,240.830,240.420,240.420,239.780,225.730,235.140,235.550,237.880,0.064,-1.104,1.196,0.463,0.437,1.241,2.176,1.803,0.427,0.105,0.087,0
2010-06-02 12:00:00,197.820,1.023,0.100,23.100,153.176,23.100,2.490,12.470,-1.300,2.250,-17.350,-7.233,2.412,0.624,0.580,0.167,0.031,1.306,-0.047,-4.993,-4.279,0.445,1.194,2.135,1.870,88.504,84.823,66.098,0.390,0.050,0.077,5.781,6.257,52.666,52.666,0.011,1.006,1.009,0.990,0.912,0.941,0.122,0.895,-0.134,-0.040,-0.034,0.039,0.364,1.063,1.255,1.610,1.510,240.830,240.420,240.420,238.940,226.410,235.140,236.130,238.520,0.110,-0.027,1.184,0.537,0.410,1.112,2.074,1.707,0.410,0.085,0.085,1
2010-06-02 12:30:00,197.785,1.023,0.000,23.700,153.156,23.700,2.240,10.180,-0.320,2.300,-15.080,-7.148,2.495,0.537,0.634,0.149,-0.305,1.079,0.002,-4.971,-4.290,0.445,1.194,2.133,1.869,89.485,86.177,70.013,0.388,0.058,0.074,5.773,6.249,56.303,56.303,0.009,1.006,1.009,0.990,0.913,0.942,0.158,0.893,-0.115,-0.029,-0.039,0.030,0.264,1.019,1.243,1.606,1.506,240.830,240.420,240.420,239.160,226.410,235.140,237.420,238.390,0.073,-0.305,1.164,0.679,0.507,1.049,2.202,1.850,0.459,0.104,-0.021,1
2010-06-02 13:00:00,197.609,1.022,-0.200,25.100,153.022,25.100,2.110,10.710,-2.520,1.200,-16.310,-7.062,2.581,0.506,0.582,0.152,-0.419,1.121,-0.093,-4.949,-4.301,0.445,1.194,2.135,1.868,90.065,86.778,71.654,0.384,0.069,0.072,5.765,6.241,59.769,59.769,0.009,1.006,1.009,0.991,0.913,0.942,0.162,0.895,-0.099,-0.020,-0.044,0.025,0.188,0.972,1.249,1.558,1.500,240.830,240.420,240.420,239.160,226.410,235.140,237.880,238.390,0.115,-0.394,1.121,0.408,0.474,1.064,2.177,1.800,0.446,0.130,0.117,1
2010-06-02 13:30:00,197.925,1.023,0.000,25.900,153.265,25.900,3.600,11.970,-1.530,2.600,-15.330,-6.969,2.694,0.395,0.375,-0.077,-0.190,1.229,-0.044,-4.926,-4.312,0.433,1.186,2.138,1.868,90.285,86.480,71.149,0.401,0.084,0.068,5.758,6.234,63.748,63.748,0.015,1.004,1.009,0.992,0.913,0.942,0.187,0.919,-0.084,-0.010,-0.048,0.029,0.139,0.930,1.249,1.545,1.500,240.830,240.420,239.780,239.120,226.590,235.140,237.880,238.530,-0.094,-0.287,1.144,0.509,0.438,1.715,2.456,1.957,0.526,0.019,0.040,0
2010-06-02 14:00:00,197.714,1.022,-0.100,27.000,153.099,27.000,3.290,10.250,-1.170,2.380,-15.870,-6.882,2.816,0.278,0.270,-0.015,-0.289,1.057,-0.023,-4.903,-4.323,0.430,1.179,2.141,1.867,89.871,85.745,69.508,0.419,0.101,0.065,5.750,6.226,67.551,67.551,0.014,1.003,1.009,0.993,0.913,0.942,0.220,0.944,-0.066,0.002,-0.052,0.027,0.103,0.875,1.244,1.542,1.500,240.830,240.420,239.160,238.950,226.660,235.140,238.390,238.530,-0.051,-0.236,1.170,0.612,0.435,1.513,2.401,1.950,0.522,0.170,-0.063,0
2010-06-02 14:30:00,197.609,1.022,-0.100,27.800,153.022,27.800,3.210,10.300,-1.730,2.620,-15.120,-6.800,2.938,0.162,0.150,-0.177,-0.669,1.054,-0.045,-4.880,-4.333,0.428,1.172,2.145,1.865,89.075,84.568,64.941,0.443,0.118,0.062,5.742,6.218,70.868,70.868,0.014,1.002,1.010,0.993,0.913,0.942,0.231,0.970,-0.051,0.016,-0.055,0.032,0.110,0.747,1.243,1.540,1.500,240.830,240.420,239.160,238.950,226.660,235.410,238.390,238.530,-0.169,-0.452,1.122,0.544,0.392,1.786,2.632,2.095,0.485,-0.003,-0.094,0
2010-06-02 15:00:00,197.574,1.022,-0.200,29.000,152.996,29.000,0.910,10.170,-1.520,2.180,-13.640,-6.716,3.025,0.064,0.081,-0.093,-0.453,1.033,-0.031,-4.856,-4.344,0.408,1.165,2.147,1.863,89.294,84.263,62.628,0.463,0.120,0.058,5.728,6.207,72.921,72.921,0.004,1.001,1.010,0.994,0.913,0.942,0.195,0.985,-0.044,0.026,-0.058,0.039,0.116,0.634,1.239,1.517,1.501,240.830,240.420,239.160,238.950,226.660,235.550,238.390,238.440,-0.111,-0.326,1.155,0.582,0.442,1.171,2.275,1.838,0.470,0.148,0.089,0
2010-06-02 15:30:00,197.961,1.024,-0.000,34.500,153.291,34.500,2.820,12.290,0.960,2.900,-20.480,-6.628,3.120,0.002,-0.003,-0.092,0.005,1.224,0.091,-4.832,-4.354,0.393,1.154,2.148,1.862,91.119,86.572,62.638,0.485,0.143,0.054,5.709,6.194,75.164,75.164,0.012,1.000,1.010,0.995,0.913,0.942,0.173,1.008,-0.028,0.038,-0.063,0.199,0.321,0.419,1.236,1.509,1.504,240.830,240.420,239.120,239.040,227.760,237.200,238.440,238.440,-0.157,0.077,0.985,0.547,0.439,1.698,2.473,2.146,0.401,-0.018,0.131,0
2010-06-03 09:30:00,197.644,1.022,-0.100,1.100,153.047,1.100,1.370,10.230,0.050,2.740,-16.470,-6.585,3.140,-0.038,-0.027,-0.034,-0.534,1.025,0.050,-4.819,-4.358,0.370,1.154,2.148,1.860,90.110,83.463,47.353,0.485,0.143,0.053,5.689,6.182,75.649,75.649,0.006,1.000,1.010,0.995,0.913,0.942,0.144,1.009,-0.022,0.043,-0.066,0.226,0.338,0.420,1.238,1.506,1.505,240.830,240.420,239.120,239.040,228.740,237.420,238.440,238.440,-0.097,-1.155,0.837,0.474,0.363,1.403,2.218,1.944,0.425,0.132,0.109,0
2010-06-03 10:00:00,197.996,1.024,0.100,4.500,153.323,4.500,-0.860,7.060,0.920,0.500,-20.680,-6.516,3.152,-0.021,-0.033,-0.053,0.057,0.723,0.097,-4.795,-4.368,0.313,1.150,2.147,1.859,90.863,81.358,41.207,0.483,0.145,0.052,5.644,6.156,75.358,75.358,-0.004,1.000,1.010,0.995,0.913,0.942,0.081,0.980,-0.016,0.047,-0.072,0.307,0.463,0.365,1.218,1.508,1.496,240.830,240.420,239.040,239.040,230.620,237.880,238.440,238.570,-0.132,0.549,0.680,0.510,0.297,0.780,2.061,2.049,0.307,0.211,0.267,1
2010-06-03 10:30:00,198.418,1.026,0.100,7.800,153.650,7.800,-0.910,7.970,2.220,-0.870,-18.280,-6.449,3.126,0.153,0.035,0.087,1.362,0.799,0.165,-4.769,-4.377,0.247,1.157,2.146,1.859,93.247,86.223,65.243,0.475,0.146,0.050,5.595,6.127,73.902,73.902,-0.004,1.000,1.009,0.996,0.913,0.942,-0.007,0.949,-0.010,0.047,-0.080,0.249,0.606,0.346,1.215,1.506,1.485,240.830,239.980,239.980,239.980,230.620,237.880,238.440,238.620,-0.027,1.639,0.773,0.584,0.329,0.768,1.940,1.771,0.861,0.357,0.208,1
2010-06-03 11:00:00,197.961,1.024,0.100,9.700,153.297,9.700,0.530,7.060,2.630,-2.140,-19.060,-6.384,3.127,0.192,0.041,0.157,-0.033,0.711,0.191,-4.744,-4.387,0.174,1.150,2.141,1.858,90.414,80.444,32.425,0.471,0.149,0.052,5.538,6.094,73.958,73.958,0.002,1.000,1.008,0.997,0.913,0.942,-0.009,0.917,0.004,0.045,-0.086,0.212,0.673,0.314,1.226,1.507,1.476,240.830,239.980,239.980,239.980,230.620,238.390,238.440,238.750,0.040,-0.272,0.690,0.609,0.191,0.724,2.128,1.828,0.403,0.421,0.238,0
2010-06-03 11:30:00,197.117,1.019,-0.100,11.800,152.649,11.800,-0.870,7.330,1.360,-2.800,-20.820,-6.321,3.103,-0.071,0.022,0.188,-2.706,0.733,0.133,-4.718,-4.395,0.179,1.138,2.136,1.858,87.870,74.820,13.191,0.460,0.150,0.054,5.479,6.060,72.493,72.493,-0.004,1.000,1.008,0.997,0.913,0.942,-0.007,0.872,0.015,0.042,-0.089,0.159,0.729,0.323,1.224,1.505,1.477,240.830,239.980,239.980,239.510,231.070,237.950,237.950,237.950,0.104,-1.700,0.728,0.512,0.172,1.188,2.121,1.803,0.267,0.184,0.105,1
2010-06-03 12:00:00,197.820,1.023,-0.000,12.200,153.195,12.200,0.030,7.250,3.790,-1.500,-20.810,-6.257,3.090,-0.164,0.018,0.329,-0.202,0.717,0.261,-4.692,-4.404,0.193,1.130,2.130,1.858,90.510,79.139,44.499,0.454,0.155,0.057,5.424,6.028,72.085,72.085,0.000,1.000,1.007,0.998,0.914,0.942,-0.019,0.835,0.030,0.036,-0.091,0.106,0.699,0.304,1.222,1.497,1.477,240.830,239.980,239.980,238.880,231.470,237.950,237.950,237.950,0.210,-0.317,0.709,0.741,0.192,0.936,1.943,1.706,0.378,0.236,0.142,0
2010-06-03 12:30:00,198.242,1.025,0.200,14.800,153.522,14.800,0.570,7.530,4.120,-0.190,-20.640,-6.195,3.076,-0.079,0.007,0.355,2.299,0.736,0.283,-4.666,-4.413,0.198,1.130,2.124,1.858,90.270,77.995,42.036,0.448,0.161,0.061,5.371,5.996,71.438,71.438,0.002,1.000,1.007,0.998,0.914,0.942,-0.004,0.808,0.043,0.030,-0.094,0.117,0.535,0.332,1.217,1.494,1.477,240.830,239.980,239.980,239.310,231.620,237.950,237.950,237.950,0.221,1.284,0.618,0.776,0.185,1.032,2.126,1.845,0.434,0.261,0.036,0
2010-06-03 13:00:00,198.945,1.029,-0.000,20.600,154.074,20.600,1.640,7.490,7.780,-0.230,-18.850,-6.131,3.088,0.175,0.052,0.459,1.833,0.724,0.481,-4.640,-4.421,0.241,1.119,2.109,1.857,97.088,93.413,98.841,0.441,0.171,0.067,5.320,5.966,72.820,72.820,0.007,1.001,1.007,0.999,0.914,0.942,0.034,0.782,0.069,0.026,-0.095,0.280,0.537,0.403,1.173,1.486,1.478,240.830,240.250,240.250,240.250,231.620,237.950,237.950,238.210,0.273,1.967,0.563,1.062,0.216,0.823,1.798,1.798,0.401,0.269,0.182,0
2010-06-03 13:30:00,197.785,1.023,-0.300,27.800,153.182,27.800,-0.130,6.760,6.170,-1.000,-19.550,-6.065,3.103,0.395,0.032,0.415,-0.872,0.655,0.405,-4.613,-4.429,0.259,1.099,2.086,1.857,90.579,79.188,39.024,0.432,0.182,0.074,5.285,5.943,74.252,74.252,-0.001,1.000,1.006,0.999,0.914,0.942,0.077,0.751,0.100,0.023,-0.097,0.357,0.549,0.483,1.182,1.489,1.481,241.230,241.230,241.230,241.230,231.620,237.950,237.950,238.780,0.269,-0.475,0.538,0.940,0.315,1.620,2.183,1.947,0.298,0.053,0.053,1
2010-06-03 14:00:00,197.082,1.019,-0.100,31.200,152.637,31.200,-0.720,5.870,5.450,-2.450,-22.320,-6.006,3.066,0.089,0.005,0.294,-2.396,0.570,0.375,-4.586,-4.437,0.314,1.094,2.064,1.855,85.477,67.915,6.199,0.409,0.188,0.078,5.254,5.922,72.604,72.604,-0.003,1.000,1.006,1.000,0.915,0.942,0.026,0.717,0.125,0.016,-0.100,0.274,0.556,0.514,1.180,1.492,1.482,241.230,241.230,241.230,241.230,231.620,237.930,237.930,237.930,0.158,-1.797,0.445,0.864,0.466,1.529,2.159,1.935,0.283,0.204,-0.051,1
2010-06-03 14:30:00,192.968,0.998,-0.200,44.000,149.512,44.000,-5.470,1.440,2.240,-7.630,-28.040,-5.973,2.878,-1.089,-0.156,-0.308,-2.584,0.173,0.214,-4.559,-4.445,0.614,1.149,2.048,1.859,64.092,20.132,13.568,0.371,0.191,0.079,5.306,5.943,56.948,56.948,-0.023,0.998,1.004,1.000,0.915,0.942,-0.189,0.657,0.135,0.001,-0.105,0.320,0.635,0.655,1.203,1.461,1.491,241.230,241.230,241.230,238.990,231.800,232.410,232.410,232.410,-0.330,-1.858,0.209,0.658,0.611,2.222,2.405,2.154,0.207,0.042,-0.088,1
2010-06-03 15:00:00,192.018,0.993,-0.100,50.300,148.781,50.300,-6.570,-0.950,2.450,-9.090,-31.830,-5.947,2.672,-2.027,-0.350,-0.732,-2.113,-0.045,0.232,-4.533,-4.452,0.623,1.200,2.026,1.865,58.267,3.197,2.154,0.328,0.195,0.080,5.364,5.967,45.354,45.354,-0.028,0.996,1.002,1.000,0.915,0.942,-0.366,0.588,0.149,-0.016,-0.113,0.342,0.683,0.720,1.203,1.458,1.495,241.230,241.230,241.230,234.200,231.920,231.920,231.920,231.920,-0.754,-1.835,0.054,0.639,0.793,1.800,1.965,1.934,0.170,0.182,0.095,1
2010-06-03 15:30:00,188.502,0.975,-0.700,65.300,146.080,65.300,-11.240,-5.740,-1.320,-11.400,-36.980,-5.933,2.392,-2.305,-0.629,-1.090,-1.737,-0.470,0.034,-4.508,-4.460,0.659,1.280,2.018,1.876,44.136,0.000,0.000,0.279,0.200,0.066,5.447,6.004,34.705,34.705,-0.047,0.994,0.999,1.000,0.915,0.942,-0.459,0.498,0.154,-0.034,-0.122,0.326,0.773,0.832,1.212,1.450,1.501,241.230,241.230,241.230,233.820,227.710,227.710,227.710,227.710,-0.957,-1.177,-0.167,0.419,0.717,2.709,2.646,2.338,0.065,0.008,0.024,0
2010-06-04 09:30:00,189.522,0.980,-0.400,4.300,146.882,4.300,-9.610,-5.730,2.800,-10.870,-38.350,-5.936,2.225,-2.607,-0.834,-1.071,-1.406,-0.466,0.264,-4.496,-4.464,0.684,1.322,2.008,1.883,44.261,12.475,12.475,0.277,0.201,0.064,5.511,6.034,30.280,30.280,-0.040,0.992,0.998,1.000,0.915,0.942,-0.530,0.443,0.158,-0.045,-0.127,0.303,0.727,0.846,1.211,1.446,1.500,241.230,241.230,241.230,232.980,227.710,227.710,227.710,227.710,-1.172,-1.171,-0.168,0.655,0.633,2.191,1.928,2.099,0.081,0.159,-0.003,0
2010-06-04 10:00:00,189.979,0.982,-0.100,8.000,147.241,8.000,-9.480,-6.010,3.570,-10.980,-35.530,-5.942,1.903,-2.863,-1.281,-1.331,-0.774,-0.487,0.313,-4.472,-4.471,0.703,1.412,1.985,1.896,46.711,16.321,16.321,0.271,0.203,0.063,5.639,6.094,24.025,24.025,-0.040,0.987,0.995,1.000,0.916,0.942,-0.624,0.355,0.168,-0.063,-0.135,0.275,0.692,0.862,1.194,1.440,1.500,241.230,241.230,239.500,231.040,227.710,227.710,227.710,227.710,-1.605,-0.586,-0.189,0.729,0.819,2.022,1.755,2.212,-0.042,0.246,0.159,0
